,Car_name,Year,Price,Location,Status,Ratings,Mileage
0,Toyota Camry,2015,"₦ 5,475,000","Agidingbi, Lagos",Foreign Used,4.5,"86,628 km"
1,Mercedes-Benz ML 350,2008,"₦ 7,815,000","Ikeja, Lagos",Foreign Used,4.7,"152,861 km"
2,Toyota Corolla,2006,"₦ 2,815,000","Ipaja, Lagos",Foreign Used,4.7,"149,942 km"
3,Lexus RX 300,2000,"₦ 1,265,000","Iju, Lagos",Locally Used,3.6,"246,456 km"
4,Toyota Camry,2004,"₦ 1,465,000","Iju, Lagos",Locally Used,3.6,"236,871 km"
5,Mercedes-Benz CLS 400,2016,"₦ 25,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.7,"82,363 km"
6,Mercedes-Benz GLK 350,2015,"₦ 12,765,000","Berger Mkt, Lagos",Foreign Used,5.0,"77,293 mi"
7,Lexus RX 350,2013,"₦ 13,275,000","Berger Mkt, Lagos",Foreign Used,5.0,"68,201 mi"
8,Mercedes-Benz ML 550,2011,"₦ 8,215,000","Berger Mkt, Lagos",Foreign Used,4.8,"151,114 mi"
9,Lexus RX 350,2010,"₦ 7,946,000","Berger Mkt, Lagos",Foreign Used,4.9,"151,275 km"
10,Toyota Camry,2013,"₦ 5,515,000","Ikorodu, Lagos",Foreign Used,5.0,"140,309 mi"
11,Toyota Camry,2003,"₦ 2,615,000","Rumuola, Port Harcourt",Foreign Used,4.7,"80,579 km"
12,Toyota Corolla,2006,"₦ 2,915,000","Rumuola, Port Harcourt",Foreign Used,4.7,"269,914 km"
13,Toyota Camry,2003,"₦ 2,665,000","Rumuola, Port Harcourt",Foreign Used,4.7,"174,241 km"
14,Toyota Sienna,2006,"₦ 4,415,000","Rumuola, Port Harcourt",Foreign Used,4.6,"144,330 km"
15,Toyota Venza,2010,"₦ 7,815,000","Rumuola, Port Harcourt",Foreign Used,4.9,"103,416 km"
16,Toyota Highlander,2005,"₦ 4,215,000","Rumuola, Port Harcourt",Foreign Used,4.7,"227,337 km"
17,Toyota Camry,2005,"₦ 3,015,000","Rumuola, Port Harcourt",Foreign Used,4.7,"299,826 km"
18,Toyota Matrix,2004,"₦ 2,815,000","Rumuola, Port Harcourt",Foreign Used,4.5,"133,854 km"
19,Pontiac Vibe,2006,"₦ 2,915,000","Rumuola, Port Harcourt",Foreign Used,4.6,"235,241 km"
20,Toyota Venza,2013,"₦ 6,915,000","Surulere, Lagos",Foreign Used,4.7,"84,125 mi"
21,Toyota Camry,2011,"₦ 3,665,000","Agidingbi, Lagos",Foreign Used,4.8,"84,873 km"
22,Honda CR-V,2005,"₦ 2,815,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.3,"115,465 km"
23,Toyota Highlander,2008,"₦ 5,715,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.5,"98,456 km"
24,Toyota Corolla,2010,"₦ 3,015,000","Festac, Lagos",Foreign Used,4.9,"85,355 km"
25,Toyota yaris iA,2007,"₦ 2,815,000","Ojodu Berger, Lagos",Foreign Used,4.1,"88,456 km"
26,Toyota Corolla,2010,"₦ 3,215,000","Sangotedo, Lekki, Lagos",Foreign Used,4.7,"167,459 km"
27,Toyota Highlander,2009,"₦ 5,515,000","Kosofe, Lagos",Foreign Used,4.8,"125,916 mi"
28,Honda Accord,2008,"₦ 3,015,000","Garki 2, Abuja",Foreign Used,4.6,"341,920 km"
29,Toyota Corolla,2006,"₦ 2,765,000","Ipaja, Lagos",Foreign Used,4.9,"271,957 mi"
30,Toyota Lexus RX 450h,2012,"₦ 8,515,000","New road, Lekki, Lagos",Foreign Used,4.9,"87,042 km"
31,Toyota Corolla,2005,"₦ 2,715,000","Ipaja, Lagos",Foreign Used,4.9,"98,116 mi"
32,Mercedes-Benz GLK 350,2011,"₦ 7,843,000","Berger Mkt, Lagos",Foreign Used,5.0,"110,685 km"
33,Toyota Venza,2013,"₦ 7,115,000","Surulere, Lagos",Foreign Used,4.7,"59,188 mi"
34,Mercedes-Benz ML 350,2008,"₦ 5,475,000","Berger Mkt, Lagos",Foreign Used,4.7,"156,834 km"
35,Lexus RX 350,2018,"₦ 24,515,000","Ojodu Berger, Lagos",Foreign Used,4.7,"21,487 km"
36,Lexus RX 330,2010,"₦ 7,515,000","Eliozu, Port Harcourt",Foreign Used,4.9,"80,673 km"
37,Toyota Matrix,2003,"₦ 2,315,000","Abule Egba, Lagos",Foreign Used,4.7,"225,109 km"
38,Toyota Landcruiser Prado,2013,"₦ 13,215,000","Anthony, Lagos",Foreign Used,4.8,"101,335 km"
39,Volvo XC90,2011,"₦ 3,965,000","Ipaja, Lagos",Foreign Used,4.8,"189,186 km"
40,Toyota Corolla,2005,"₦ 2,665,000","Meiran, Lagos",Foreign Used,4.7,"194,399 km"
41,Toyota Sienna,1998,"₦ 2,315,000","Ipaja, Lagos",Foreign Used,4.7,"98,444 km"
42,Honda Accord,2007,"₦ 1,015,000","Iju, Lagos",Locally Used,4.0,"91,594 mi"
43,Acura MDX,2002,"₦ 1,215,000","Meiran, Lagos",Locally Used,3.7,"320,030 km"
44,Ford F 150,2010,"₦ 14,815,000","Eti Osa, Lagos",Foreign Used,4.7,"143,347 km"
45,Toyota Tundra,2011,"₦ 9,215,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"107,369 km"
46,Toyota Avalon,2006,"₦ 3,815,000","Meiran, Lagos",Foreign Used,4.8,"120,309 km"
47,Toyota Venza,2011,"₦ 7,740,000","Berger Mkt, Lagos",Foreign Used,5.0,"47,550 km"
48,Lexus RX 350,2009,"₦ 7,615,000","Ikota, Lekki, Lagos",Foreign Used,5.0,"132,513 km"
49,Lexus RX 350,2013,"₦ 9,515,000","Ikota, Lekki, Lagos",Foreign Used,4.9,"88,359 km"
50,Toyota Highlander,2016,"₦ 12,515,000","Ikota, Lekki, Lagos",Foreign Used,4.8,"66,062 km"
51,Toyota RAV 4,2016,"₦ 15,315,000","Berger Mkt, Lagos",Foreign Used,5.0,"50,228 mi"
52,Toyota RAV 4,2010,"₦ 4,665,000","Ago, Lagos",Foreign Used,4.9,"82,756 km"
53,Mercedes-Benz GLK 350,2010,"₦ 7,225,000","Ago, Lagos",Foreign Used,4.9,"93,667 km"
54,Toyota Venza,2014,"₦ 7,215,000","Surulere, Lagos",Foreign Used,4.8,"72,942 km"
55,Lexus IS 350,2008,"₦ 4,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"85,432 mi"
56,Mazda CX-9,2008,"₦ 3,815,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"110,186 km"
57,Toyota Venza,2011,"₦ 7,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"200,521 km"
58,Ford Fusion,2015,"₦ 8,015,000","Ipaja, Lagos",Foreign Used,4.8,"172,864 mi"
59,Mercedes-Benz C 300,2010,"₦ 4,215,000","Ojodu Berger, Lagos",Foreign Used,3.8,"196,457 km"
60,Lexus ES 350,2017,"₦ 20,015,000","Ipaja, Lagos",Foreign Used,4.8,"37,330 mi"
61,Toyota Corolla,2013,"₦ 4,515,000","Ojodu Berger, Lagos",Foreign Used,4.7,"98,262 km"
62,Toyota Camry,2011,"₦ 3,815,000","Ojodu Berger, Lagos",Foreign Used,4.6,"85,743 km"
63,Honda Accord,2011,"₦ 4,015,000","Ojodu Berger, Lagos",Foreign Used,4.7,"102,688 km"
64,Toyota Highlander,2013,"₦ 7,415,000","Ojodu Berger, Lagos",Foreign Used,4.8,"198,000 km"
65,Toyota Highlander,2013,"₦ 9,800,000","Berger Mkt, Lagos",Foreign Used,5.0,"55,238 mi"
66,Mercedes-Benz C 300,2011,"₦ 5,215,000","Berger Mkt, Lagos",Foreign Used,4.6,"697,814 mi"
67,Toyota Camry,2012,"₦ 4,815,000","Festac, Lagos",Foreign Used,5.0,"116,619 mi"
68,Toyota Corolla,2011,"₦ 4,215,000","Anthony, Lagos",Foreign Used,4.7,"85,433 km"
69,Suzuki XL-7,2007,"₦ 2,815,000","Ipaja, Lagos",Foreign Used,4.1,"162,569 km"
70,Toyota Land Cruiser,2013,"₦ 17,515,000","Ogba, Lagos",Locally Used,4.9,"24,441 km"
71,Honda Accord,2008,"₦ 3,015,000","Meiran, Lagos",Foreign Used,4.8,"195,104 mi"
72,Toyota Highlander,2013,"₦ 8,715,000","Surulere, Lagos",New,4.6,"68,761 km"
73,Toyota Venza,2009,"₦ 7,740,000","Lagos, Lagos",Foreign Used,5.0,"50,731 mi"
74,Toyota Sienna,2007,"₦ 3,015,000","Isolo, Lagos",Foreign Used,4.8,"114,360 km"
75,Toyota Corolla,2005,"₦ 2,715,000","Isolo, Lagos",Foreign Used,4.7,"185,907 km"
76,Toyota Corolla,2007,"₦ 2,915,000","Ipaja, Lagos",Foreign Used,4.8,"203,787 km"
77,Lexus GX 470,2004,"₦ 5,515,000","Ogba, Lagos",Foreign Used,4.8,"78,792 km"
78,Toyota Camry,2015,"₦ 8,015,000","Ogba, Lagos",Foreign Used,4.9,"34,180 km"
79,Toyota Camry,2012,"₦ 6,015,000","Ogba, Lagos",Foreign Used,4.9,"93,474 km"
80,Toyota Corolla,2013,"₦ 4,815,000","Ogba, Lagos",Foreign Used,4.9,"122,121 km"
81,Toyota Corolla,2011,"₦ 4,315,000","Ogba, Lagos",Foreign Used,4.9,"118,375 km"
82,Toyota Highlander,2008,"₦ 5,865,000","Isolo, Lagos",Foreign Used,4.8,"155,700 km"
83,Lexus RX 350,2010,"₦ 9,015,000","Ogba, Lagos",Foreign Used,4.7,"162,710 km"
84,Mercedes-Benz ML 550,2008,"₦ 5,715,000","Berger Mkt, Lagos",Foreign Used,5.0,"65,539 km"
85,Mercedes-Benz ML 350,2009,"₦ 6,615,000","Berger Mkt, Lagos",Foreign Used,4.9,"147,374 km"
86,Toyota Venza,2009,"₦ 7,015,000","Berger Mkt, Lagos",Foreign Used,4.9,"48,512 km"
87,Toyota Corolla,2016,"₦ 5,815,000","Ikoyi, Lagos",Foreign Used,4.8,"63,700 km"
88,Hyundai Sonata,2007,"₦ 2,015,000","Meiran, Lagos",Foreign Used,4.8,"102,806 km"
89,Ford Explorer,2016,"₦ 9,815,000","Lagos, Lagos",Foreign Used,5.0,"77,207 km"
90,Mercedes-Benz GL 550,2013,"₦ 12,815,000","Lagos, Lagos",Locally Used,5.0,"39,425 km"
91,Acura MDX,2018,"₦ 18,895,000","Lagos, Lagos",Foreign Used,5.0,"38,888 km"
92,Lexus RX 450,2016,"₦ 18,315,000","Lagos, Lagos",Foreign Used,5.0,"2,369 km"
93,MINI Cooper,2013,"₦ 4,315,000","Lagos, Lagos",Locally Used,5.0,"23,698 km"
94,Mercedes-Benz CLS 550,2012,"₦ 10,815,000","Lagos, Lagos",Foreign Used,5.0,"113,565 km"
95,Mercedes-Benz C 300,2017,"₦ 16,715,000","Lagos, Lagos",Foreign Used,5.0,"65,542 km"
96,Lexus ES 350,2010,"₦ 6,015,000","Lagos, Lagos",Foreign Used,5.0,"12,435 km"
97,Honda CR-V,2017,"₦ 11,815,000","Lagos, Lagos",Foreign Used,5.0,"3,192 km"
98,Honda Civic,2007,"₦ 2,215,000","Festac, Lagos",Foreign Used,5.0,"10,356 mi"
99,Nissan Qashqai,2018,"₦ 7,815,000","Lagos, Lagos",Foreign Used,5.0,"23,006 km"
100,Honda Crosstour,2010,"₦ 4,215,000","Lagos, Lagos",Foreign Used,5.0,"132,865 km"
101,Lexus RX 350,2010,"₦ 10,215,000","Festac, Lagos",Foreign Used,4.8,"87,193 km"
102,Lexus ES 350,2013,"₦ 8,715,000","Ilupeju, Lagos",Foreign Used,4.9,"97,657 km"
103,Toyota RAV 4,2015,"₦ 8,515,000","Ikota, Lekki, Lagos",Foreign Used,4.9,"22,026 mi"
104,Toyota Corolla,2010,"₦ 3,665,000","Gwarinpa, Abuja",Foreign Used,5.0,"189,191 km"
105,Lexus RX 350,2011,"₦ 10,115,000","Berger Mkt, Lagos",Foreign Used,4.9,"52,606 mi"
106,Lexus RX 350,2010,"₦ 8,815,000","Lagos, Lagos",Foreign Used,4.9,"232,786 mi"
107,Mercedes-Benz ML 350,2014,"₦ 18,415,000","Lagos, Lagos",Foreign Used,4.9,"103,274 mi"
108,Mercedes-Benz GL 450,2014,"₦ 16,015,000","Ojodu Berger, Lagos",Foreign Used,4.7,"88,721 km"
109,Lexus RX 350,2010,"₦ 6,265,000","Ipaja, Lagos",Locally Used,4.4,"62,657 mi"
110,Lexus RX 350,2010,"₦ 8,815,000","Festac, Lagos",Foreign Used,4.9,"75,624 km"
111,Jeep Wrangler,2016,"₦ 15,115,000","Apapa, Lagos",Foreign Used,5.0,"59,324 km"
112,Acura MDX,2013,"₦ 7,815,000","Festac, Lagos",Foreign Used,5.0,"138,258 mi"
113,Honda Crosstour,2010,"₦ 4,015,000","Gwarinpa, Abuja",Foreign Used,4.7,"49,819 km"
114,Mercedes-Benz GLE 43 AMG,2017,"₦ 38,815,000","Oniru, Lagos",Foreign Used,4.9,"28,367 km"
115,Toyota Corolla,2016,"₦ 5,815,000","Igando, Lagos",Foreign Used,5.0,"185,426 mi"
116,Volvo XC90,2006,"₦ 2,615,000","Ikeja, Lagos",Foreign Used,4.7,"202,985 mi"
117,Toyota Camry,2012,"₦ 4,765,000","Iju, Lagos",Foreign Used,4.8,"142,082 km"
118,Toyota RAV 4,2004,"₦ 2,865,000","Ipaja, Lagos",Foreign Used,4.8,"105,823 km"
119,Toyota RAV 4,2007,"₦ 3,865,000","Ipaja, Lagos",Foreign Used,4.9,"160,915 km"
120,Toyota RAV 4,2016,"₦ 8,515,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"71,201 km"
121,Toyota Camry,2012,"₦ 5,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"71,251 km"
122,Toyota Camry,2007,"₦ 3,015,000","Ikorodu, Lagos",Foreign Used,4.8,"95,736 km"
123,Toyota Highlander,2005,"₦ 3,915,000","Ikorodu, Lagos",Foreign Used,4.9,"158,266 km"
124,Lexus ES 330,2005,"₦ 3,515,000","Ikorodu, Lagos",Foreign Used,4.6,"87,246 km"
125,Toyota Scion,2008,"₦ 2,915,000","Ikorodu, Lagos",Foreign Used,4.5,"162,691 km"
126,Honda Pilot,2008,"₦ 3,015,000","Ikorodu, Lagos",Foreign Used,4.5,"196,522 km"
127,Toyota Camry,2009,"₦ 3,215,000","Ikorodu, Lagos",Foreign Used,4.5,"133,874 km"
128,Lexus RX 350,2010,"₦ 8,770,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"141,083 mi"
129,Toyota Corolla,2011,"₦ 3,900,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"92,114 mi"
130,Lexus ES 350,2013,"₦ 9,800,000","Lagos Ibadan Express Way, Lagos",Foreign Used,5.0,"78,654 km"
131,Toyota Camry,2012,"₦ 5,371,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"62,311 mi"
132,Toyota Camry,2008,"₦ 3,165,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"105,240 mi"
133,Toyota Corolla,2009,"₦ 3,270,000","Lagos Ibadan Express Way, Lagos",Locally Used,4.9,"137,053 mi"
134,Nissan Frontier,2009,"₦ 4,740,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"93,096 mi"
135,Toyota Venza,2011,"₦ 6,401,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"91,087 mi"
136,Toyota Corolla,2009,"₦ 3,315,000","Sangotedo, Lekki, Lagos",Foreign Used,4.6,"130,802 km"
137,Toyota Corolla,2013,"₦ 4,915,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"52,180 km"
138,Honda Accord,2014,"₦ 5,415,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"65,916 km"
139,Mercedes-Benz C 300,2007,"₦ 5,015,000","Jahi, Abuja",Foreign Used,5.0,"322,609 km"
140,Lexus RX 350,2011,"₦ 8,015,000","Ikeja, Lagos",Foreign Used,4.9,"105,174 km"
141,Toyota RAV 4,2010,"₦ 5,515,000","Garki 2, Abuja",Foreign Used,5.0,"952,371 km"
142,Range Rover HSE LR4,2010,"₦ 14,015,000","Katampe, Abuja",Foreign Used,5.0,"75,421 km"
143,Toyota Corolla,2017,"₦ 8,015,000","Jahi, Abuja",Foreign Used,5.0,"72,541 km"
144,Mercedes-Benz GLE 450,2019,"₦ 80,015,000","Jahi, Abuja",Foreign Used,5.0,"52,111 km"
145,Toyota Highlander,2009,"₦ 8,015,000","Jahi, Abuja",Foreign Used,5.0,"87,046 km"
146,Toyota Camry,2017,"₦ 8,515,000","Jahi, Abuja",Foreign Used,5.0,"22,672 km"
147,Acura ZDX,2013,"₦ 6,615,000","Agidingbi, Lagos",Foreign Used,4.7,"128,924 km"
148,BMW X7,2019,"₦ 88,015,000","Jahi, Abuja",Locally Used,5.0,0 km
149,Toyota Highlander,2015,"₦ 15,015,000","Jahi, Abuja",Foreign Used,5.0,"104,490 mi"
150,Toyota Highlander,2014,"₦ 13,515,000","Agidingbi, Lagos",Foreign Used,4.9,"255,924 km"
151,Lexus ES 350,2007,"₦ 4,015,000","Agidingbi, Lagos",Foreign Used,4.8,"206,649 km"
152,Toyota Landcruiser Prado,2014,"₦ 18,515,000","Ikeja, Lagos",Locally Used,4.9,"37,873 km"
153,Toyota Prado,2020,"₦ 32,515,000","Ikeja, Lagos",Locally Used,5.0,33 mi
154,Honda Crosstour,2010,"₦ 4,615,000","Surulere, Lagos",Foreign Used,4.8,"95,542 mi"
155,Toyota Highlander,2015,"₦ 14,315,000","Ikeja, Lagos",Foreign Used,4.8,"57,746 km"
156,Toyota 4-Runner,2003,"₦ 3,315,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"78,731 km"
157,Toyota Highlander,2015,"₦ 12,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"55,417 km"
158,Honda Crosstour,2011,"₦ 4,815,000","Sangotedo, Lekki, Lagos",Foreign Used,4.7,"68,330 km"
159,Toyota Sienna,2002,"₦ 2,430,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"158,056 mi"
160,Lexus ES 350,2013,"₦ 9,515,000","Oshodi-Isolo, Lagos",Foreign Used,4.6,"74,576 mi"
161,Toyota Hilux,2013,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.7,"27,139 mi"
162,Toyota Hilux,2013,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.7,"30,421 km"
163,Toyota Hilux,2012,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.6,"31,976 km"
164,Toyota Hilux,2014,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.4,"14,581 km"
165,Toyota Hilux,2014,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.7,"28,784 km"
166,Toyota Hilux,2012,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.8,"39,679 km"
167,Toyota Hilux,2013,"₦ 10,015,000","Ketu, Lagos",Locally Used,4.5,"26,760 mi"
168,Toyota RAV 4,2007,"₦ 3,430,000","Ajah, Lagos",Foreign Used,4.8,"107,853 km"
169,Toyota RAV 4,2011,"₦ 6,215,000","Oshodi-Isolo, Lagos",Foreign Used,4.7,"85,221 km"
170,Honda Accord,2008,"₦ 3,515,000","Kubuwa Expressway, Abuja",Foreign Used,5.0,"84,115 km"
171,Nissan Altima,2010,"₦ 2,535,000","Ikeja, Lagos",Foreign Used,4.9,"128,566 km"
172,Toyota Highlander,2004,"₦ 2,115,000","Ikotun, Lagos",Locally Used,4.6,"107,678 km"
173,Toyota Camry,2012,"₦ 4,515,000","Kubwa Express, Abuja",Foreign Used,4.8,"42,001 km"
174,Toyota Camry,2014,"₦ 5,915,000","Katampe, Abuja",Foreign Used,5.0,"187,337 km"
175,Toyota Highlander,2015,"₦ 16,515,000","Ojodu Berger, Lagos",Foreign Used,4.9,"50,275 km"
176,Toyota Highlander,2009,"₦ 6,115,000","Kubuwa Expressway, Abuja",Foreign Used,5.0,"79,799 mi"
177,Toyota RAV 4,2009,"₦ 4,865,000","Kubwa Express, Abuja",Foreign Used,4.9,"54,217 km"
178,Toyota Corolla,2005,"₦ 2,765,000","FCDA, Abuja",Foreign Used,5.0,"71,260 km"
179,Honda Element,2003,"₦ 2,615,000","Ilupeju, Lagos",Foreign Used,4.1,"98,674 km"
180,Mercedes-Benz GLC 300,2017,"₦ 20,415,000","Ago, Lagos",Foreign Used,5.0,"99,261 km"
181,Acura ZDX,2012,"₦ 8,770,000","Ago, Lagos",Foreign Used,4.9,"102,999 km"
182,Toyota Camry,2013,"₦ 4,635,000","Ago, Lagos",Foreign Used,4.9,"117,444 km"
183,Mercedes-Benz GLK 350,2010,"₦ 7,225,000","Ago, Lagos",Foreign Used,4.9,"110,548 km"
184,Toyota Camry,2002,"₦ 1,365,000","Arepo, Ogun",Locally Used,4.8,"507,414 km"
185,Toyota RAV 4,2014,"₦ 9,815,000","Berger Mkt, Lagos",Foreign Used,4.9,"32,311 km"
186,Lexus RX 350,2013,"₦ 13,815,000","Lagos, Lagos",Foreign Used,4.9,"35,221 mi"
187,Toyota Venza,2011,"₦ 6,815,000","Surulere, Lagos",Foreign Used,4.7,"172,221 km"
188,Toyota 4-Runner,2017,"₦ 25,815,000","Ikate, Lekki, Lagos",Foreign Used,4.9,"52,065 km"
189,Land Rover Range Rover Velar,2019,"₦ 48,515,000","Ikate, Lekki, Lagos",Foreign Used,5.0,"2,268 km"
190,Toyota Camry,2004,"₦ 2,415,000","Ago, Lagos",Foreign Used,4.8,"115,302 km"
191,Toyota Venza,2010,"₦ 6,015,000","Kosofe, Lagos",Foreign Used,4.8,"158,203 km"
192,Toyota Corolla,2012,"₦ 4,615,000","Kubwa Express, Abuja",Foreign Used,4.6,"16,248 km"
193,Lexus ES 350,2010,"₦ 5,815,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.8,"94,865 km"
194,Toyota Highlander,2019,"₦ 19,215,000","Lekki Pennisula, Lekki, Lagos",Foreign Used,5.0,"19,053 km"
195,Lexus IS 250,2010,"₦ 5,515,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.7,"1,957,555 km"
196,Toyota Solara,2005,"₦ 2,315,000","Kosofe, Lagos",Foreign Used,4.7,"110,470 km"
197,Toyota Highlander,2008,"₦ 5,515,000","Ogba, Lagos",Foreign Used,4.7,"100,000 km"
198,Toyota Highlander,2008,"₦ 5,415,000","Ifako-Ijaiye, Lagos",Foreign Used,4.8,"303,278 mi"
199,Land Rover Range Rover Autobiography,2016,"₦ 40,015,000","Ikate, Lekki, Lagos",Foreign Used,5.0,"38,192 km"
200,Toyota Corolla,2009,"₦ 3,765,000","Kubwa Express, Abuja",Foreign Used,4.9,"140,774 km"
201,Mazda 323,2000,"₦ 765,000","Eliozu, Port Harcourt",Locally Used,4.5,"209,615 km"
202,Mazda 626,2000,"₦ 765,000","Eliozu, Port Harcourt",Locally Used,4.6,"285,421 km"
203,Toyota Corolla,2003,"₦ 1,515,000","Eliozu, Port Harcourt",Locally Used,4.5,"299,999 km"
204,Toyota Corolla,2005,"₦ 1,865,000","Eliozu, Port Harcourt",Locally Used,4.5,"125,681 km"
205,Toyota Matrix,2009,"₦ 3,315,000","Surulere, Lagos",Foreign Used,4.6,"86,048 km"
206,Toyota Corolla,2013,"₦ 4,315,000","Kubuwa Expressway, Abuja",Locally Used,5.0,"122,970 mi"
207,Hyundai Elantra,2017,"₦ 4,015,000","Eliozu, Port Harcourt",Locally Used,5.0,"84,307 km"
208,Toyota Highlander,2013,"₦ 9,015,000","Berger Mkt, Lagos",Locally Used,4.8,"165,265 mi"
209,Honda Accord,2013,"₦ 3,215,000","Ipaja, Lagos",Locally Used,3.9,"16,703 km"
210,Toyota Yaris,2008,"₦ 1,215,000","Ilupeju, Lagos",Locally Used,4.6,"84,178 km"
211,Jaguar XJ,2005,"₦ 3,515,000","Ilupeju, Lagos",Foreign Used,4.4,"118,274 km"
212,Toyota RAV 4,2007,"₦ 4,415,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"162,933 km"
213,Toyota Corolla,2014,"₦ 4,915,000","Sangotedo, Lekki, Lagos",Foreign Used,4.6,"54,280 km"
214,Toyota 4-Runner,2018,"₦ 19,015,000","Ilupeju, Lagos",Foreign Used,4.9,"53,013 km"
215,Toyota Corolla,2010,"₦ 3,690,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"91,537 mi"
216,Toyota Camry,2010,"₦ 4,425,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"100,317 mi"
217,Toyota Camry,2010,"₦ 3,690,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.8,"209,277 mi"
218,Lexus RX 350,2008,"₦ 5,615,000","Alimosho, Lagos",Foreign Used,4.9,"96,753 km"
219,Lexus IS 250,2008,"₦ 4,215,000","Alimosho, Lagos",Foreign Used,4.9,"100,112 km"
220,Lexus ES 350,2008,"₦ 4,265,000","Ipaja, Lagos",Foreign Used,4.6,"235,147 km"
221,Nissan Pathfinder,2007,"₦ 3,585,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.8,"120,335 mi"
222,Toyota Highlander,2003,"₦ 3,165,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.8,"120,552 mi"
223,Toyota Camry,2005,"₦ 2,515,000","Aba Road, Port Harcourt",Foreign Used,5.0,"155,766 km"
224,Lexus ES 330,2005,"₦ 3,415,000","Stadium Road, Port Harcourt",Foreign Used,4.6,"238,233 km"
225,Toyota Venza,2013,"₦ 5,265,000","Ipaja, Lagos",Locally Used,4.6,"79,748 km"
226,Toyota Sienna,2006,"₦ 3,375,000","Lagos Ibadan Express Way, Lagos",Foreign Used,5.0,"177,241 mi"
227,Toyota Camry,2007,"₦ 2,915,000","Ipaja, Lagos",Foreign Used,4.7,"173,088 km"
228,Toyota Venza,2011,"₦ 6,515,000","Ipaja, Lagos",Foreign Used,4.8,"120,555 km"
229,Toyota Sienna,2004,"₦ 1,815,000","Ipaja, Lagos",Locally Used,4.4,"117,407 km"
230,Mercedes-Benz S 550,2015,"₦ 35,015,000","Isolo, Lagos",Foreign Used,4.8,"194,397 km"
231,Toyota Corolla,2012,"₦ 4,315,000","Katampe, Abuja",Foreign Used,4.9,"50,162 km"
232,Toyota Corolla,2012,"₦ 3,515,000","Katampe, Abuja",Locally Used,5.0,"21,640 km"
233,Toyota Corolla,2003,"₦ 2,415,000","Katampe, Abuja",Foreign Used,4.8,"182,404 km"
234,Toyota Camry,2008,"₦ 2,515,000","Alimosho, Lagos",Locally Used,4.5,"131,298 km"
235,Mercedes-Benz CLA 250,2018,"₦ 13,015,000","Dopemu, Lagos",Foreign Used,4.9,"27,533 km"
236,Toyota Venza,2010,"₦ 7,615,000","Sangotedo, Lekki, Lagos",Foreign Used,5.0,"69,584 km"
237,Lexus RX 350,2015,"₦ 9,515,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"57,493 km"
238,Lexus RX 350,2010,"₦ 8,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"73,356 km"
239,Lexus GX 470,2005,"₦ 6,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"77,224 km"
240,Infiniti QX80,2018,"₦ 42,015,000","Ikate, Lekki, Lagos",Locally Used,5.0,"52,147 km"
241,Lexus ES 350,2007,"₦ 4,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"78,780 km"
242,Toyota Camry,2013,"₦ 5,515,000","Katampe, Abuja",Foreign Used,5.0,"50,659 km"
243,Toyota Camry,2012,"₦ 5,115,000","Gwarinpa, Abuja",Foreign Used,5.0,"54,900 km"
244,Toyota Camry,2014,"₦ 6,015,000","Gwarinpa, Abuja",Foreign Used,5.0,"41,467 km"
