,Car_name,Year,Price,Location,Status,Ratings,Mileage
2815,Toyota Venza,2010,"₦ 7,015,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.7,"106,428 km"
2816,Lexus GX 460,2014,"₦ 18,015,000","Ogba, Lagos",Foreign Used,4.5,"74,726 km"
2817,Toyota Camry,2008,"₦ 2,265,000","Alimosho, Lagos",Locally Used,4.4,"209,942 km"
2818,Land Rover Range Rover,2011,"₦ 5,815,000","Admiralty, Lekki, Lagos",Locally Used,4.8,"70,801 km"
2819,Lexus GX 460,2019,"₦ 21,515,000","Festac, Lagos",Foreign Used,4.9,"79,249 km"
2820,Toyota Venza,2011,"₦ 7,515,000","Amuwo-Odofin, Lagos",Foreign Used,4.5,"105,240 km"
2821,Lexus ES 300,2003,"₦ 1,765,000","Rumuomasi, Port Harcourt",Locally Used,4.9,"168,348 km"
2822,Toyota Camry,2010,"₦ 3,715,000","Berger Mkt, Lagos",Foreign Used,5.0,"178,607 km"
2823,Toyota Hiace,2000,"₦ 9,515,000","Rumuomasi, Port Harcourt",Locally Used,4.6,"143,916 km"
2824,Toyota Hiace,2000,"₦ 7,515,000","Rumuomasi, Port Harcourt",Locally Used,4.6,"128,439 km"
2825,Toyota Hilux,2000,"₦ 6,015,000","Rumuomasi, Port Harcourt",Locally Used,4.6,"247,330 km"
2826,Toyota Hiace,2000,"₦ 3,515,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.1,"109,592 km"
2827,Toyota Camry,2017,"₦ 7,815,000","New road, Lekki, Lagos",Foreign Used,4.4,"41,478 km"
2828,Toyota Camry,2013,"₦ 5,680,000","Surulere, Lagos",Foreign Used,4.1,"107,354 km"
2829,Toyota Highlander,2015,"₦ 14,515,000","New road, Lekki, Lagos",Foreign Used,4.7,"63,548 km"
2830,Toyota Corolla,2007,"₦ 2,850,000","Surulere, Lagos",Foreign Used,4.4,"77,545 km"
2831,Toyota Sienna,2013,"₦ 7,225,000","Surulere, Lagos",Foreign Used,4.7,"101,915 km"
2832,Toyota Corolla,2013,"₦ 4,425,000","Surulere, Lagos",Foreign Used,4.9,"85,081 km"
2833,Toyota Hilux,2012,"₦ 7,415,000","Aba Road, Port Harcourt",Locally Used,4.9,"65,176 km"
2834,Toyota Sienna,2004,"₦ 2,815,000","Rumuomasi, Port Harcourt",Foreign Used,4.8,"61,274 km"
2835,Toyota RAV 4,2013,"₦ 6,815,000","Rumuomasi, Port Harcourt",Locally Used,4.9,"55,601 km"
2836,Lexus IS 250,2010,"₦ 4,845,000","Ikeja, Lagos",Foreign Used,4.6,"159,032 km"
2837,Toyota RAV 4,2014,"₦ 7,515,000","Garki 2, Abuja",Foreign Used,4.8,"95,435 km"
2838,Toyota Highlander,2006,"₦ 3,690,000","Alimosho, Lagos",Foreign Used,4.9,"97,696 km"
